; Candidate function boundaries for /home/andrew/netgearr8000/v2-staging/firmware/brcmfmac43602-pcie.ap.bin
; Detection: Thumb-2 'push {..,lr}' prologue -> nearest following
; 'pop {..,pc}' or 'bx lr' epilogue (approx=1 means no clean
; epilogue was found before the next prologue; end offset is the
; next prologue's start as a fallback boundary).
; Total candidates: 1879
; offset_start   offset_end  size_bytes  approx
0x0259f8  0x025c4c       596  0
0x025c4c  0x025dc4       376  0
0x025dc8  0x025e20        88  0
0x025fb2  0x026024       114  0
0x026024  0x026128       260  0
0x02612c  0x026152        38  0
0x026154  0x026170        28  0
0x026174  0x026196        34  0
0x0261ac  0x0261bc        16  0
0x0261c0  0x026220        96  0
0x026242  0x026330       238  0
0x026330  0x02638c        92  0
0x0263b8  0x0263dc        36  0
0x0263dc  0x02641a        62  0
0x02642a  0x02646c        66  0
0x02646c  0x0264a2        54  0
0x0264a8  0x0264d4        44  0
0x0264d8  0x0264fc        36  1
0x0264fc  0x026638       316  0
0x026650  0x0267a4       340  0
0x0267ac  0x0267fa        78  0
0x0267fa  0x026820        38  1
0x026820  0x026844        36  0
0x026846  0x026898        82  0
0x02689c  0x026a56       442  0
0x026a68  0x026a96        46  1
0x026a96  0x026b76       224  1
0x026b76  0x026c08       146  0
0x026c0c  0x026c2c        32  1
0x026c2c  0x026c82        86  0
0x026c82  0x026cb2        48  0
0x026cb2  0x026de0       302  0
0x026e04  0x02721e      1050  0
0x027220  0x027338       280  0
0x027344  0x027374        48  0
0x027390  0x0273ec        92  0
0x0273ec  0x0274c6       218  0
0x0274d0  0x0276b6       486  0
0x0276b6  0x027820       362  0
0x027824  0x027884        96  0
0x027888  0x0278d4        76  0
0x0278d6  0x027918        66  1
0x027918  0x027ab4       412  0
0x027cc0  0x027cd8        24  0
0x027cf6  0x027d32        60  0
0x027da6  0x027e84       222  0
0x027e8c  0x027f94       264  0
0x027f98  0x027fc4        44  0
0x027fc4  0x028198       468  0
0x0281a2  0x0281de        60  0
0x0281de  0x02822e        80  0
0x028232  0x028296       100  0
0x02829c  0x028488       492  0
0x02848c  0x0284e4        88  0
0x0284ea  0x0285c4       218  1
0x0285c4  0x02865e       154  0
0x028660  0x0287b6       342  0
0x0287d8  0x028816        62  0
0x028818  0x02898a       370  0
0x0289a4  0x0289de        58  0
0x0289de  0x028a7e       160  0
0x028a80  0x028abe        62  0
0x028ac8  0x028aee        38  0
0x028aee  0x028ba6       184  0
0x028bc4  0x028c52       142  0
0x028c52  0x028c8e        60  0
0x028c8e  0x028d12       132  0
0x028d12  0x028d66        84  0
0x028d94  0x028dae        26  0
0x028dc0  0x028e6c       172  0
0x028e70  0x028f0e       158  0
0x028f1a  0x028f72        88  0
0x028f74  0x02909c       296  0
0x0290a0  0x0291ea       330  0
0x0291ea  0x02921e        52  0
0x029220  0x029238        24  0
0x029238  0x02932c       244  0
0x029348  0x02936c        36  1
0x02936c  0x0294ba       334  0
0x0294c8  0x02950a        66  0
0x029516  0x0295ea       212  0
0x0295ec  0x0296ec       256  0
0x0296ec  0x029754       104  0
0x02975a  0x0297d6       124  0
0x0297d8  0x029966       398  0
0x02996c  0x029ae6       378  0
0x029ae6  0x029b80       154  0
0x029b8c  0x029c2c       160  0
0x029c5c  0x029c6c        16  0
0x029c70  0x029d7e       270  0
0x029d90  0x029dc0        48  0
0x029dc4  0x029e28       100  0
0x029e28  0x029ee6       190  0
0x029f04  0x02a0f2       494  0
0x02a0f8  0x02a18a       146  0
0x02a194  0x02a1ae        26  1
0x02a1ae  0x02a1d0        34  0
0x02a1d0  0x02a1f2        34  0
0x02a1f2  0x02a20c        26  1
0x02a20c  0x02a2a0       148  0
0x02a2a0  0x02a36e       206  0
0x02a36e  0x02a56c       510  0
0x02a56e  0x02a7ee       640  0
0x02a7f8  0x02a920       296  0
0x02a926  0x02a980        90  0
